Date	Time	Day	Latitude	Longitude	 Altitude	 Distance
9/9/21	19:35:11	1	-27.396828	151.784134	464.509979	0.424175
9/9/21	19:36:14	1	-27.396811	151.784027	439.47998	10.716167
9/9/21	19:37:18	1	-27.396822	151.784103	458.630005	7.638738
9/9/21	19:38:24	1	-27.396721	151.784149	455.349976	12.115077
9/9/21	19:39:28	1	-27.396828	151.784058	456.880005	14.924927
9/9/21	19:40:35	1	-27.396622	151.784195	431.130005	26.617069
9/9/21	19:41:39	1	-27.396641	151.78418	437.23999	2.601415
9/9/21	19:42:42	1	-27.396912	151.784073	450.579987	31.909118
9/9/21	19:43:46	1	-27.396696	151.784195	443.259979	26.82527
9/9/21	19:44:51	1	-27.396801	151.784088	446.199982	15.724527
9/9/21	19:45:56	1	-27.39669	151.784119	436.039978	12.664652
9/9/21	19:47:02	1	-27.396589	151.784225	419.099976	15.412496
9/9/21	19:48:07	1	-27.396646	151.78418	426.829987	7.804244
9/9/21	19:49:10	1	-27.396641	151.784195	423.589996	1.635261
9/9/21	19:50:15	1	-27.396748	151.784103	443.609985	14.924931
9/9/21	19:51:19	1	-27.396772	151.784058	439.429993	5.293863
9/9/21	19:52:25	1	-27.39677	151.784149	459.759979	9.04089
9/9/21	19:53:30	1	-27.396776	151.784134	445.940002	1.635259
9/9/21	19:54:37	1	-27.396631	151.784119	436.929993	16.188888
9/9/21	19:55:43	1	-27.396715	151.784073	437.759979	10.36854
9/9/21	19:56:47	1	-27.396645	151.784103	430.5	8.405719
9/9/21	19:57:53	1	-27.396637	151.784164	440.97998	6.085035
9/9/21	19:58:56	1	-27.396763	151.784119	435.880005	14.709211
9/9/21	20:00:34	1	-27.396759	151.783981	438.880005	13.564238
9/9/21	20:01:38	1	-27.396696	151.783966	428.299988	7.159167
9/9/21	20:02:40	1	-27.396755	151.783951	424.099976	6.745079
9/9/21	20:03:42	1	-27.396749	151.783951	432.589996	0.636262
9/9/21	20:04:45	1	-27.396717	151.783981	437.539978	4.698565
9/9/21	20:05:48	1	-27.396748	151.784012	427.829987	4.537856
9/9/21	20:06:51	1	-27.39674	151.784027	439.889984	1.728855
9/9/21	20:07:54	1	-27.396734	151.783997	444.549988	3.079254
9/9/21	20:08:57	1	-27.396738	151.783981	426.269989	1.564982
9/9/21	20:10:00	1	-27.39674	151.783966	437.559998	1.521257
9/9/21	20:11:03	1	-27.396749	151.783951	418.269989	1.842219
9/9/21	20:12:05	1	-27.396736	151.783981	434.679993	3.358727
9/9/21	20:13:08	1	-27.39674	151.783936	425.079987	4.539065
9/9/21	20:14:11	1	-27.396717	151.783997	427.72998	6.541038
9/9/21	20:15:13	1	-27.396713	151.783936	428.599976	6.040516
9/9/21	20:16:16	1	-27.396645	151.784012	433.410004	10.725048
9/9/21	20:17:19	1	-27.396711	151.78392	428.649994	11.695927
9/9/21	20:18:22	1	-27.396713	151.783981	435.25	6.029336
9/9/21	20:19:25	1	-27.396721	151.783966	433.660004	1.728856
9/9/21	20:20:28	1	-27.396711	151.783966	436.910004	1.060437
9/9/21	20:21:31	1	-27.396713	151.783951	434.380005	1.521258
9/9/21	20:22:34	1	-27.396692	151.783966	435.5	2.777041
9/9/21	20:23:39	1	-27.3967	151.783936	433.559998	3.129964
9/9/21	20:24:41	1	-27.396719	151.783966	442.160004	3.684439
9/9/21	20:25:43	1	-27.396679	151.78392	447.049988	6.345067
9/9/21	20:26:45	1	-27.396721	151.783981	441.109985	7.620943
9/9/21	20:27:47	1	-27.396687	151.783966	434.259979	4.104037
9/9/21	20:28:49	1	-27.396727	151.783981	434.25	4.701692
9/9/21	20:29:51	1	-27.396704	151.783997	432.899994	2.957452
9/9/21	20:30:53	1	-27.396687	151.783966	429.410004	3.566574
9/9/21	20:31:55	1	-27.396742	151.783951	439.399994	6.332326
9/9/21	20:32:57	1	-27.396744	151.783981	432.380005	3.020257
9/9/21	20:33:59	1	-27.396723	151.783966	431.009979	2.777041
9/9/21	20:35:01	1	-27.396715	151.783981	435.839996	1.728856
9/9/21	20:36:03	1	-27.396723	151.783966	429.269989	1.728856
9/9/21	20:37:05	1	-27.396709	151.783951	427.299988	2.115022
9/9/21	20:38:07	1	-27.396717	151.783966	420.049988	1.728856
9/9/21	20:39:09	1	-27.396727	151.783966	426.419983	1.060437
