Date	Time	Day	Latitude	Average_Lat	Longitude	Average_Long
9/9/21	21:08:08	1	-27.397482	151.782196	427.759979	0.424175
9/9/21	21:08:09	1	-27.397484	151.782196	427.599976	0.212087
9/9/21	21:08:10	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:11	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:12	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:13	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:14	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:15	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:16	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:17	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:18	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:19	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:20	1	-27.397484	151.782196	427.599976	0
9/9/21	21:08:21	1	-27.397476	151.782181	428.22998	1.728847
9/9/21	21:08:22	1	-27.397474	151.782181	428.419983	0.212087
9/9/21	21:08:23	1	-27.397476	151.782166	428.440002	1.521248
9/9/21	21:08:24	1	-27.397476	151.782181	428.329987	1.506391
9/9/21	21:08:25	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:26	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:27	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:28	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:29	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:30	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:31	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:32	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:33	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:34	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:35	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:36	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:37	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:38	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:39	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:40	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:41	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:42	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:43	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:44	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:45	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:46	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:47	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:48	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:49	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:50	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:51	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:52	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:53	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:54	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:55	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:56	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:57	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:58	1	-27.397476	151.782181	428.329987	0
9/9/21	21:08:59	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:00	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:01	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:02	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:03	1	-27.397476	151.782181	428.329987	0
